"Mã Đảng viên","Họ tên","Chi bộ","Chức vụ","CMND","Giới tính","Ngày sinh","Quê quán","Dân tộc","Tôn giáo","Trình độ học vấn","Ngoại ngữ","Trình độ tin học","Trình độ chính trị","Số điện thoại","Email","Nghề nghiệp","Địa chỉ thường trú","Nơi ở hiện tại","Ngày vào Đoàn","Nơi vào Đoàn","Ngày vào Đảng lần đầu","Ngày vào Đảng chính thức","Người giới thiệu"
"00175124","Nguyễn Văn Khang","CNTT&TT","Đảng viên chính thức","351451462","Nam","1980-01-12","Đường Mỹ Khánh, Phường Mỹ Long, Thành phố Long Xuyên, Tỉnh An Giang","Kinh","Phật giáo","12/12","Tiếng Anh-A, Tiếng Nhật-N4","CNTT cơ bản","Sơ cấp","0124578965","vonguyen3.vn@gmail.com","Giảng viên","Đường Mỹ Khánh, Phường Mỹ Long, Thành phố Long Xuyên, Tỉnh An Giang","Đường Mỹ Khánh, Phường Mỹ Bình, Thành phố Long Xuyên, Tỉnh An Giang","2008-01-05","An Giang","2009-01-05","2010-01-05",""
"00136215","Nguyễn Lam Trường","KHMT","Đảng viên chính thức","351265778","Nam","1982-02-01","Đường Long Khánh, Phường Mỹ Bình, Thành phố Long Xuyên, Tỉnh An Giang","Kinh","Phật giáo","12/12","Tiếng Anh-A","CNTT nâng cao","Trung cấp","0123657847","truongnguyen@student.edu.vn","Giảng viên","Đường Long Khánh, Phường Mỹ Bình, Thành phố Long Xuyên, Tỉnh An Giang","Đường Long Khánh, Phường Mỹ Bình, Thành phố Long Xuyên, Tỉnh An Giang","2005-01-01","An Giang","2006-01-01","2007-01-01",""
"00166254","Nguyễn Văn Cường","THUD","Đảng viên chính thức","351362147","Nam","1980-06-02","Đường Mỹ Bình, Phường Mỹ Bình, Thành phố Long Xuyên, Tỉnh An Giang","Kinh","Không","12/12","Tiếng Anh-B1","CNTT cơ bản","Sơ cấp","0126584711","cuongnguyen@student.edu.vn","Sinh viên","Đường Mỹ Bình, Phường Mỹ Bình, Thành phố Long Xuyên, Tỉnh An Giang","Đường Mỹ Bình, Phường Mỹ Bình, Thành phố Long Xuyên, Tỉnh An Giang","2010-01-01","An Giang","2011-01-01","2012-01-01",""
"00172123","Trần Thái Linh","CNTT&TT","Đảng viên chính thức","351201896","Nữ","1980-01-01","400 Công Lý, Xã Ninh Quới, Huyện Hồng Dân, Tỉnh Bạc Liêu","Chăm","Hồi giáo","12/12","Tiếng Anh-B1, Tiếng Nhật-N4","CNTT cơ bản","Trung cấp","0136955624","linhtran@student.edu.vn","Giảng viên","400 Công Lý, Xã Ninh Quới, Huyện Hồng Dân, Tỉnh Bạc Liêu","3/1, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ","2011-12-12","Bạc Liêu","2012-12-12","2013-12-12",""
"B1702122","Nguyễn Hoàng Nanh","Sinh viên","Bí thư chi bộ","351210014","Nam","1999-01-01","Đường Tân Hiệp, Phường Vĩnh Thanh Vân, Thành phố Rạch Giá, Tỉnh Kiên Giang","Kinh","Hồi giáo","12/12","Tiếng Anh-A","CNTT cơ bản","Sơ cấp","0154786324","namnguyen@student.edu.vn","Sinh viên","Đường Tân Hiệp, Phường Vĩnh Thanh Vân, Thành phố Rạch Giá, Tỉnh Kiên Giang","3/2, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","2015-01-01","Kiên Giang","2017-01-01","2018-01-01",""
"001721","Phan Văn Phú","TT&MMT","Bí thư chi bộ","350112112","Nam","1975-02-01","Đường Lâm Thôn, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ","Kinh","Thiên chúa giáo","12/12","Tiếng Anh-IELTS, Tiếng Nhật-N5","CNTT nâng cao","Trung cấp","0136999652","phuphan@student.edu.vn","Giảng viên","Đường 30/4, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ","Đường 30/4, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","2005-01-01","Cần Thơ","2006-01-01","2007-01-01",""
"B1800003","Nguyễn Thị Thư","TT&MMT","Đảng viên chính thức","353666221","Nữ","2000-01-05","Đường 30/4, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","Kinh","Phật giáo","12/12","Tiếng Anh-B, Tiếng Trung-HSK","CNTT nâng cao","Sơ cấp","0125777888","thunguyen@student.edu.vn","Sinh viên","Đường 30/4, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","Đường 30/4, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","2015-01-01","Cần Thơ","2017-01-01","2018-01-01",""
"B1800002","Nguyễn Văn Hoài","Sinh viên","Đảng viên chính thức","353000333","Nam","2000-01-01","Đường 3/2, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","Kinh","Không","12/12","Tiếng Anh-B1, Tiếng Nhật-N5","CNTT cơ bản","Sơ cấp","0125484999","vonguyen@student.edu.vn","Sinh viên","Đường 3/2, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","Đường 3/2, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","2015-01-01","Cần Thơ","2017-01-01","2018-01-01","Nguyễn Văn Vỏ"
"B1706793","Kha Thiên Thành","KHMT","Bí thư chi bộ","352000003","Nam","1999-01-01","Đường 3/2, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","Kinh","Tin Lành","12/12","Tiếng Anh-IELTS, Tiếng Trung-TOCFL","MOS","Cao cấp","0123456004","thanhb1706793@student.ctu.edu.vn","Sinh viên","Đường 3/2, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","Đường 3/2, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ","2015-12-12","Kiên Giang","2017-12-12","2018-12-12",""
"10075144","Đỗ Thanh Toàn","CNTT&TT","Bí thư chi bộ","350000123","Nam","1980-01-01","250 Thủy Lưu, Xã Phổng Lăng, Huyện Thuận Châu, Tỉnh Sơn La","Kinh","Thiên chúa giáo","12/12","Tiếng Anh-B1, Tiếng Trung-HSK","CNTT nâng cao","Trung cấp","0123624154","toando@student.edu.vn","Giảng viên","241 Hỏa Lưu, Xã Hợp Tiến, Huyện Kim Bôi, Tỉnh Hoà Bình","112 Tường Son, Xã Hóa Trung, Huyện Đồng Hỷ, Tỉnh Thái Nguyên","2010-12-12","Hà Nội","2012-12-12","2013-12-12",""
